split,seed,task_id,method,success,collision,dynamic_violation,goal_error,min_clearance,max_speed,max_accel,path_length,task_energy,support_distance,risk_proxy,mode,target_mode,mode_frequency_in_prior,mode_escape,target_support_frequency,failure_label,description,risk_budget,fixed_risk_success
off_support_corridor,0,4000,energy_rerank_unguided,0,1,0,0.00037,-0.25293,0.10123,0.01233,2.38414,7.04130,0.00434,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,energy_guided_diffusion,0,1,1,0.00238,-0.04726,0.20507,0.12278,2.68375,1.24974,0.05585,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,strong_guided_diffusion,0,0,1,0.00304,0.01797,0.20500,0.11601,2.71950,0.74926,0.06965,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,support_projected_guidance,0,0,1,0.00192,0.01797,0.20500,0.11601,2.72364,0.75608,0.06958,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,mode_diverse_diffusion,1,0,0,0.00414,0.26250,0.11181,0.01255,2.48464,0.45465,0.62097,0.00353,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,diffusion_cem_hybrid,1,0,0,0.00000,0.23235,0.10516,0.00658,2.45488,0.44527,0.61002,0.00315,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,cem_trajectory_optimizer,1,0,0,0.00616,0.24385,0.11197,0.01727,2.49473,0.46127,0.62200,0.00357,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4000,support_aware_energy_bridge_v5,1,0,0,0.00000,0.23941,0.10716,0.00762,2.46154,0.44676,0.61326,0.00326,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,energy_rerank_unguided,0,1,0,0.00077,-0.28563,0.10174,0.01063,2.40772,7.93929,0.00455,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,energy_guided_diffusion,0,1,1,0.00405,-0.08142,0.23223,0.24327,2.79496,1.80591,0.06144,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,strong_guided_diffusion,0,0,1,0.00299,0.01738,0.20500,0.11767,2.80974,0.84189,0.07969,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,support_projected_guidance,0,0,1,0.00176,0.01737,0.20500,0.11768,2.81351,0.85007,0.07992,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,mode_diverse_diffusion,1,0,0,0.00180,0.21638,0.10642,0.01638,2.43081,0.44510,0.61264,0.00324,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,diffusion_cem_hybrid,1,0,0,0.00000,0.21748,0.10079,0.00660,2.41454,0.43769,0.60699,0.00304,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,cem_trajectory_optimizer,1,0,0,0.00364,0.21450,0.10411,0.02106,2.43099,0.45112,0.61217,0.00323,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4001,support_aware_energy_bridge_v5,1,0,0,0.00000,0.23125,0.10199,0.00782,2.42553,0.44002,0.61278,0.00325,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,energy_rerank_unguided,0,1,0,0.00022,-0.28186,0.10685,0.01051,2.44935,6.31370,0.00426,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,energy_guided_diffusion,0,1,1,0.00348,-0.11124,0.29616,0.27837,3.04234,3.29415,0.05275,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,strong_guided_diffusion,0,0,1,0.00315,0.00923,0.20500,0.13855,2.86633,0.95159,0.07882,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,support_projected_guidance,0,0,1,0.00205,0.00937,0.20500,0.14237,2.87155,0.97303,0.08015,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,mode_diverse_diffusion,1,0,0,0.00446,0.27065,0.10340,0.01476,2.39594,0.43773,0.61309,0.00326,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,diffusion_cem_hybrid,1,0,0,0.00000,0.26991,0.09836,0.00572,2.37839,0.43088,0.60756,0.00306,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,cem_trajectory_optimizer,1,0,0,0.00605,0.27589,0.10358,0.02616,2.39838,0.45311,0.61223,0.00323,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4002,support_aware_energy_bridge_v5,1,0,0,0.00000,0.27335,0.10031,0.00637,2.38422,0.43209,0.61087,0.00318,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,energy_rerank_unguided,0,1,0,0.00071,-0.24090,0.10158,0.01046,2.39980,5.40661,0.00525,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,energy_guided_diffusion,0,1,1,0.00424,-0.05438,0.21683,0.18393,2.72151,1.38077,0.04960,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,strong_guided_diffusion,0,0,1,0.00345,0.01787,0.20500,0.13297,2.71475,0.80889,0.06305,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,support_projected_guidance,0,0,1,0.00211,0.01785,0.20500,0.13719,2.71720,0.84043,0.06272,1.00000,lower,upper,1.0000,0,0.0000,dynamic_violation,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,mode_diverse_diffusion,1,0,0,0.00166,0.26779,0.10203,0.01760,2.43789,0.44615,0.60976,0.00314,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,diffusion_cem_hybrid,1,0,0,0.00000,0.25484,0.09974,0.00647,2.41830,0.43844,0.60300,0.00291,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,cem_trajectory_optimizer,1,0,0,0.01006,0.26856,0.10252,0.02563,2.44619,0.45816,0.61340,0.00327,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4003,support_aware_energy_bridge_v5,1,0,0,0.00000,0.27114,0.10173,0.00899,2.43167,0.44116,0.60884,0.00311,upper,upper,0.0000,1,0.0000,success,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4004,energy_rerank_unguided,0,1,0,0.00012,-0.31983,0.10609,0.01094,2.44670,8.65075,0.00458,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
off_support_corridor,0,4004,energy_guided_diffusion,0,1,1,0.00391,-0.14383,0.35960,0.24961,2.87769,3.58261,0.06087,1.00000,lower,upper,1.0000,0,0.0000,collision_shortcut_from_guidance,safe upper mode absent from prior and lower mode blocked,0.00,0
