risk_budget,method,seed,tasks,success,fixed_risk_success,collision,dynamic_violation,risk_proxy,mode_escape
0.00,energy_rerank_unguided,0,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,1,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,2,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,3,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,4,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,5,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,6,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_rerank_unguided,7,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.00,energy_guided_diffusion,0,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,1,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,2,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,3,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,4,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,5,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,6,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,energy_guided_diffusion,7,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,0,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,1,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,2,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
