split,seed,task_id,method,success,collision,dynamic_violation,goal_error,min_clearance,max_speed,max_accel,path_length,task_energy,support_distance,risk_proxy,mode,target_mode,mode_frequency_in_prior,mode_escape,target_support_frequency,failure_label,description
supported_single_mode,0,0,behavior_clone_nearest,1,0,0,0.00080,0.22838,0.10762,0.01759,2.48439,0.45473,0.00000,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,unguided_diffusion_prior,1,0,0,0.00010,0.22093,0.10813,0.01200,2.47321,0.45062,0.00472,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,energy_rerank_unguided,1,0,0,0.00010,0.22091,0.11082,0.01031,2.47300,0.45020,0.00488,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,energy_guided_diffusion,1,0,0,0.00237,0.21929,0.11165,0.04237,2.49141,0.53346,0.00681,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,strong_guided_diffusion,1,0,0,0.00294,0.21876,0.10571,0.01274,2.47049,0.45139,0.00496,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,support_projected_guidance,1,0,0,0.00330,0.22142,0.10658,0.00973,2.46861,0.44921,0.00511,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,mode_diverse_diffusion,1,0,0,0.00010,0.21922,0.10873,0.00985,2.47282,0.44964,0.00494,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,diffusion_cem_hybrid,1,0,0,0.00000,0.21288,0.10565,0.00617,2.45715,0.44570,0.00752,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,chomp_like_optimizer,1,0,0,0.00000,0.21065,0.10318,0.00618,2.44852,0.44397,0.00971,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,cem_trajectory_optimizer,1,0,0,0.00489,0.28110,0.09938,0.02505,2.40215,0.44707,0.61469,0.00331,lower,upper,0.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,graph_search_planner,1,0,0,0.00088,0.22651,0.10985,0.00831,2.47529,0.44960,0.00531,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,support_aware_energy_bridge_v5,1,0,0,0.00000,0.21701,0.10641,0.00647,2.46429,0.44711,0.00588,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,0,grid_oracle,1,0,0,0.00065,0.27655,0.10123,0.00655,2.37534,0.43059,0.61247,0.00324,lower,upper,0.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,behavior_clone_nearest,1,0,0,0.00076,0.28826,0.10034,0.01248,2.38894,0.43590,0.00000,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,unguided_diffusion_prior,1,0,0,0.00021,0.29004,0.09989,0.01147,2.38981,0.43522,0.00467,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,energy_rerank_unguided,1,0,0,0.00021,0.28968,0.10192,0.01170,2.38924,0.43430,0.00497,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,energy_guided_diffusion,1,0,0,0.00323,0.28360,0.10115,0.03443,2.39385,0.46600,0.00569,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,strong_guided_diffusion,1,0,0,0.00299,0.28999,0.10067,0.00940,2.38535,0.43395,0.00480,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,support_projected_guidance,1,0,0,0.00260,0.29069,0.10100,0.00794,2.38607,0.43312,0.00491,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,mode_diverse_diffusion,1,0,0,0.00021,0.28932,0.10133,0.01079,2.38993,0.43443,0.00465,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,diffusion_cem_hybrid,1,0,0,0.00000,0.28528,0.09760,0.00618,2.37386,0.43000,0.00749,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,chomp_like_optimizer,1,0,0,0.00000,0.26989,0.09531,0.00564,2.36472,0.42827,0.01048,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,cem_trajectory_optimizer,1,0,0,0.00076,0.28826,0.10034,0.01248,2.38894,0.43590,0.00000,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,graph_search_planner,1,0,0,0.00048,0.29282,0.10152,0.00646,2.38819,0.43298,0.00491,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,support_aware_energy_bridge_v5,1,0,0,0.00000,0.28281,0.10029,0.00848,2.38053,0.43158,0.00520,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,1,grid_oracle,1,0,0,0.00060,0.29006,0.10161,0.00758,2.38666,0.43284,0.00478,0.00000,lower,lower,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,behavior_clone_nearest,1,0,0,0.00032,0.16329,0.10689,0.01536,2.46918,0.45196,0.00000,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,unguided_diffusion_prior,1,0,0,0.00041,0.17258,0.10710,0.01142,2.46480,0.44908,0.00417,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,energy_rerank_unguided,1,0,0,0.00040,0.17420,0.10734,0.01000,2.46512,0.44847,0.00436,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,energy_guided_diffusion,1,0,0,0.00410,0.16950,0.10392,0.04847,2.47416,0.50723,0.00589,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,strong_guided_diffusion,1,0,0,0.00321,0.17213,0.10448,0.01036,2.46064,0.44842,0.00456,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,support_projected_guidance,1,0,0,0.00304,0.17204,0.10476,0.01031,2.46041,0.44724,0.00452,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,mode_diverse_diffusion,1,0,0,0.00041,0.17402,0.10679,0.01174,2.46486,0.44914,0.00441,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,diffusion_cem_hybrid,1,0,0,0.00000,0.16619,0.10303,0.00641,2.44872,0.44413,0.00643,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,chomp_like_optimizer,1,0,0,0.00000,0.16087,0.10081,0.00612,2.43842,0.44209,0.00995,0.00000,upper,upper,1.0000,0,1.0000,success,supported mode
supported_single_mode,0,2,cem_trajectory_optimizer,1,0,0,0.00680,0.26627,0.10152,0.03008,2.37814,0.44525,0.61220,0.00323,lower,upper,0.0000,0,1.0000,success,supported mode
